,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score
0,Kevin Alcantara,MiLB,Jose Altuve,0.149643706,4.146618536630349,123.7926195556994,0.353065539,0.3596277371773508,
1,Jose Altuve,MLB,,0.144904458,4.42397148521161,127.479551418169,0.350439882,0.344237520589548,0.8647790159523102
2,Coby Mayo,MiLB,Ketel Marte,0.298882681,4.3388410819350165,144.99452027193092,0.371921182,0.4127994740363395,
3,Ketel Marte,MLB,,0.267857143,4.32048319467056,151.201317150416,0.372212692,0.390999548033708,0.9786718576559924
4,Jace Jung,MiLB,Marcell Ozuna,0.203438395,3.0484238955642287,121.5262825868176,0.379953379,0.3764845438492604,
5,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.8668228242721183
6,Dylan Crews,MiLB,Elly De La Cruz,0.181360202,7.677887681872018,114.65667770647067,0.341517857,0.3541728428431919,
7,Elly De La Cruz,MLB,,0.21197411,8.69340795554214,117.856215038245,0.338616714,0.348648240283735,0.9513217005387117
8,Agustin Ramirez,MiLB,Shohei Ohtani,0.220588235,5.809713686670768,130.2318660956012,0.357664233,0.3777060257015542,
9,Shohei Ohtani,MLB,,0.336477988,8.10565516053483,181.154144395014,0.39010989,0.430549291764129,0.9699466509383422
10,Owen Caissie,MiLB,William Contreras,0.194915255,4.922176116354584,121.0880946803621,0.375227686,0.3759434138025556,
11,William Contreras,MLB,,0.18487395,4.41559949716697,130.742438133437,0.365243004,0.358727183734628,0.8579553323851262
12,Edgar Quero,MiLB,Marcell Ozuna,0.182857142,1.4088525907649665,138.5121212632025,0.365671641,0.3807323487540383,
13,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.8859197930242494
14,Angel Genao,MiLB,Mookie Betts,0.169265034,6.605981262598932,150.39195010150613,0.379032258,0.404600527551439,
15,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.912945971786309
16,Moises Ballesteros,MiLB,Corey Seager,0.182819383,2.060320197051272,126.76608282074424,0.354330708,0.3710276406897596,
17,Corey Seager,MLB,,0.233684211,1.57334834224921,140.319807806903,0.35272045,0.364663478286787,0.8612466170834407
18,Samuel Basallo,MiLB,Bryan Reynolds,0.171189979,3.464449095599103,122.01597358395148,0.34086629,0.3562002565500871,
19,Bryan Reynolds,MLB,,0.172025723,4.17227248054702,117.770418046554,0.343930635,0.342744614199042,0.8126623079709036
20,Colson Montgomery,MiLB,Jesus Sanchez,0.167010309,4.803150502828277,87.92412851017333,0.328671328,0.3241630448142618,
21,Jesus Sanchez,MLB,,0.165644172,4.90634929313419,100.379638690193,0.313432835,0.316958939314782,0.8611292637892187
22,James Triantos,MiLB,Trea Turner,0.126410835,8.310828628704531,123.22926356968829,0.346391752,0.3549518086246608,
23,Trea Turner,MLB,,0.174257426,5.28252838213124,124.022747880855,0.337662337,0.349066551408432,0.7650303347669758
24,Harry Ford,MiLB,Steven Kwan,0.118604651,6.424250254272095,118.61515717919784,0.377394636,0.3546400643399849,
25,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.8734399312902723
26,Brady House,MiLB,Bryan De La Cruz,0.16064257,4.058713726969289,91.24316818691253,0.29704797,0.3155054843733671,
27,Bryan De La Cruz,MLB,,0.150684931,2.82159314049022,77.3126260245172,0.2705314,0.282601914002049,0.9826903491346939
28,Carson Williams,MiLB,Jarren Duran,0.212471131,8.213902570486926,142.0645829378028,0.352475247,0.3779513979005435,
29,Jarren Duran,MLB,,0.207153502,7.98266239567707,129.022926671139,0.341961852,0.356867390228651,0.9527599940975336
30,Jaison Chourio,MiLB,Steven Kwan,0.128742515,6.757862931175604,143.89124389832438,0.414351851,0.3952714905937973,
31,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.874090902984682
32,Lazaro Montes,MiLB,William Contreras,0.196428572,3.907356326546875,138.0408508946692,0.396678966,0.4045860227820598,
33,William Contreras,MLB,,0.18487395,4.41559949716697,130.742438133437,0.365243004,0.358727183734628,0.9549393219134875
34,Jefferson Rojas,MiLB,Jacob Young,0.09139785,6.027229866630629,87.7327491648225,0.310262529,0.3052543350506512,
35,Jacob Young,MLB,,0.074786325,6.68388386426377,84.9560611808486,0.31640625,0.289607538841665,0.9887144005569669
36,Josue De Paula,MiLB,Steven Kwan,0.137662338,6.648075314317362,130.3050325878217,0.404166666,0.3876122748926437,
37,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.8370632410887956
38,Dalton Rushing,MiLB,Bryce Harper,0.24047619,2.4206422728137094,141.87155073839165,0.384462151,0.4009228564070132,
39,Bryce Harper,MLB,,0.24,2.76714535412812,144.989177704013,0.373015873,0.380217063407713,0.9809927731020422
40,Jacob Melton,MiLB,Brenton Doyle,0.17293233,6.974387835762324,94.80716404876571,0.309633027,0.3299791814263808,
41,Brenton Doyle,MLB,,0.186346863,6.86234466442288,97.3154145755982,0.317195325,0.327981299381192,0.9805020907865939
42,Ryan Clifford,MiLB,Marcell Ozuna,0.193103449,2.49569413308708,130.67277175795655,0.372222222,0.366949082974837,
43,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.9196410536589841
44,Cam Collier,MiLB,Marcell Ozuna,0.194379391,3.099162907921737,129.20540229463734,0.355029585,0.3701343402089809,
45,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.9612147133216123
46,Roman Anthony,MiLB,Seiya Suzuki,0.207048458,6.266809413955196,148.7194830831064,0.396296296,0.4013909818292994,
47,Seiya Suzuki,MLB,,0.19921875,5.77900415908658,137.796555342624,0.365811965,0.364872846918827,0.9737333865699133
48,Termarr Johnson,MiLB,Steven Kwan,0.148984198,5.464963836905938,120.55572464104738,0.366482504,0.3545415376165256,
49,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.9093380044287479
50,Justin Crawford,MiLB,Trea Turner,0.131291028,7.605638046904837,130.14411374980585,0.360323886,0.3680027231031101,
51,Trea Turner,MLB,,0.174257426,5.28252838213124,124.022747880855,0.337662337,0.349066551408432,0.8244068489388893
52,Cole Young,MiLB,Steven Kwan,0.119402985,4.926159211746805,118.79571854459948,0.368613138,0.3549204225087688,
53,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.9155669737884558
54,Xavier Isaac,MiLB,Bobby Witt Jr.,0.215258855,5.909862518617574,143.36580374136,0.370114942,0.3882518128417004,
55,Bobby Witt Jr.,MLB,,0.256289308,7.20232415768555,167.54034664407,0.389280677,0.409738353746278,0.9895600873724706
56,Alex Freeland,MiLB,Mookie Betts,0.181459566,6.939349415442767,131.91219727401472,0.386991869,0.3829236158510534,
57,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.9242672769113823
58,Druw Jones,MiLB,Steven Kwan,0.129629629,7.258148151265747,124.99161026566172,0.408510638,0.3937036933929427,
59,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.8034423019212288
60,Ethan Salas,MiLB,Lourdes Gurriel Jr.,0.104368932,4.670944570640697,75.00705721131857,0.287846481,0.2853462053006138,
61,Lourdes Gurriel Jr.,MLB,,0.155945419,4.58102388011007,107.925538868411,0.32188065,0.32670330580162,0.9884195213579339
62,Sebastian Walcott,MiLB,Jarren Duran,0.186403508,7.441974855353145,125.06854086927302,0.34368932,0.3620402238944161,
63,Jarren Duran,MLB,,0.207153502,7.98266239567707,129.022926671139,0.341961852,0.356867390228651,0.9692537559092345
64,Franklin Arias,MiLB,Mookie Betts,0.178343949,7.12489921420914,150.0216286649832,0.40860215,0.4267613439149754,
65,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.9225282132967526
66,Aidan Miller,MiLB,Mookie Betts,0.184810127,7.4232133914603535,133.00138991749736,0.365800865,0.3791283882541574,
67,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.9117193185947534
68,Luke Keaschall,MiLB,William Contreras,0.179419525,5.686985189221611,158.44544144441107,0.42025862,0.4164363547483736,
69,William Contreras,MLB,,0.18487395,4.41559949716697,130.742438133437,0.365243004,0.358727183734628,0.9353848557162867
70,Matt Shaw,MiLB,Mookie Betts,0.203160271,6.43118707516267,146.45063132602465,0.379310344,0.3935404713354805,
71,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.9832697770918425
72,Max Clark,MiLB,Trea Turner,0.142857143,7.849075973726232,128.9823947265383,0.372188139,0.3759881598783321,
73,Trea Turner,MLB,,0.174257426,5.28252838213124,124.022747880855,0.337662337,0.349066551408432,0.7958047157109279
74,Blake Mitchell,MiLB,Mookie Betts,0.191919192,6.514789695638854,134.77161377121232,0.368312757,0.3806880606600076,
75,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.9694036569376916
76,Bryce Eldridge,MiLB,Aaron Judge,0.224215246,4.697636626148563,136.9960787036935,0.371868978,0.3979424084572829,
77,Aaron Judge,MLB,,0.379248659,3.92011002149635,218.425379756783,0.458036984,0.475734001110099,0.9536518984133784
78,Cooper Pratt,MiLB,Steven Kwan,0.129682997,7.2096639046702915,126.393881911168,0.362282878,0.367263027959071,
79,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.7712622053216897
80,Kyle Teel,MiLB,Jurickson Profar,0.145199063,4.363749597570063,133.50556265532143,0.386138613,0.3759942723972962,
81,Jurickson Profar,MLB,,0.179078015,3.62322978174211,139.212656500536,0.380090497,0.365296050431334,0.8774351988853252
82,Brayden Taylor,MiLB,Gunnar Henderson,0.242924528,8.161264324162886,144.0812933038177,0.364891518,0.3900313186927659,
83,Gunnar Henderson,MLB,,0.247619048,6.71141331078619,154.745047618049,0.364394993,0.38146476194387,0.9491885793438086
84,Kristian Campbell,MiLB,Seiya Suzuki,0.227906976,6.0720310567829685,179.5285274824213,0.439071566,0.4473002058591029,
85,Seiya Suzuki,MLB,,0.19921875,5.77900415908658,137.796555342624,0.365811965,0.364872846918827,0.9531842890507122
86,Ralphy Velazquez,MiLB,Jose Altuve,0.153846154,4.473254463795337,117.03950665169752,0.346578366,0.3524600345212801,
87,Jose Altuve,MLB,,0.144904458,4.42397148521161,127.479551418169,0.350439882,0.344237520589548,0.7924996892716996
88,Leodalis De Vries,MiLB,Jarren Duran,0.204013378,7.434012205696478,115.51944622737722,0.361111111,0.3779162375463379,
89,Jarren Duran,MLB,,0.207153502,7.98266239567707,129.022926671139,0.341961852,0.356867390228651,0.8645883545322853
